bid,pid,fid
1,325,514
2,821,638
3,12136,4
4,7195,338
5,15632,37
6,65,429
7,2696,368
8,15827,360
9,19893,357
10,1205,680
11,2612,305
12,15245,417
13,19631,189
14,8579,837
15,3688,889
16,4131,506
17,6466,154
18,14008,841
19,1648,69
20,18711,49
21,18401,590
22,19188,68
23,11404,286
24,18814,706
25,15036,644
26,3776,579
27,9990,253
28,6236,738
29,2632,631
30,18868,451
31,13578,799
32,7187,205
33,6899,560
34,9215,487
35,14206,865
36,19555,859
37,10306,447
38,14698,796
39,16980,191
40,3832,212
41,18361,117
42,4781,889
43,19781,685
44,12229,118
45,1414,25
46,54,882
47,6262,159
48,947,933
49,14274,591
50,3541,592
51,14983,43
52,15572,271
53,5860,285
54,8581,512
55,631,33
56,18070,829
57,10399,628
58,18377,501
59,19254,368
60,17811,892
61,15688,774
62,8605,467
63,6103,812
64,12060,785
65,18692,693
66,19576,874
67,17767,295
68,17124,785
69,10326,45
70,12235,419
71,2066,694
72,7345,50
73,17526,434
74,249,793
75,9319,184
76,8235,759
77,730,516
78,9270,719
79,19898,236
80,7129,727
81,2866,572
82,4107,243
83,3735,766
84,9874,78
85,9912,41
86,8454,16
87,2755,130
88,16340,487
89,7339,575
90,1719,881
91,307,999
92,17324,976
93,15658,986
94,6405,201
95,15494,929
96,810,483
97,6793,530
98,8146,830
99,15791,740
100,13687,193
101,4320,329
102,14813,304
103,3345,933
104,13332,345
105,9266,910
106,14333,480
107,431,552
108,5051,839
109,14815,330
110,4541,712
111,6849,998
112,7560,578
113,15128,668
114,15821,555
115,798,208
116,19773,347
117,13738,307
118,13505,284
119,19833,169
120,15184,542
121,3455,483
122,10174,82
123,16805,898
124,14136,469
125,4057,924
126,15346,559
127,8999,985
128,14245,421
129,10800,655
130,15582,827
131,971,94
132,4045,265
133,5097,556
134,14930,281
135,8552,475
136,5809,53
137,364,729
138,5358,147
139,9378,80
140,15294,637
141,19025,901
142,1096,143
143,13042,185
144,7640,192
145,13612,186
146,6625,287
147,16420,305
148,14563,764
149,8502,153
150,9652,204
151,4503,499
152,2546,170
153,13453,278
154,19562,78
155,635,93
156,12826,11
157,13594,655
158,10319,661
159,983,555
160,19189,904
161,14167,725
162,10128,101
163,2187,196
164,17216,231
165,7277,583
166,2394,552
167,4010,932
168,12389,729
169,1840,66
170,13310,994
171,8604,103
172,3862,319
173,5985,568
174,17472,823
175,3755,834
176,2529,534
177,6174,867
178,10715,730
179,18776,286
180,15342,877
181,2296,392
182,18478,827
183,2143,782
184,10583,740
185,13269,514
186,13915,346
187,16500,863
188,4257,231
189,14088,685
190,5099,979
191,14136,53
192,14702,538
193,1576,587
194,10034,89
195,4732,710
196,17188,454
197,776,660
198,5045,562
199,7458,130
200,984,962
201,15973,195
202,17097,345
203,18963,884
204,13712,350
205,9746,279
206,2540,811
207,1733,597
208,18515,509
209,15266,103
210,6363,846
211,11406,294
212,16867,739
213,15618,101
214,3843,256
215,1224,305
216,16583,470
217,10143,635
218,19248,841
219,17616,394
220,18736,677
221,594,203
222,9851,750
223,6844,892
224,15181,967
225,18080,666
226,6834,421
227,7842,642
228,3813,667
229,729,932
230,1249,936
231,19323,126
232,15770,600
233,18312,340
234,394,606
235,18463,755
236,13169,552
237,11035,746
238,18812,263
239,12896,964
240,6427,995
241,13015,453
242,25,465
243,1777,725
244,16928,617
245,11880,99
246,9563,194
247,1184,629
248,16313,260
249,18904,912
250,6545,48
251,12628,745
252,3111,659
253,4767,578
254,13908,819
255,13557,543
256,10479,259
257,10150,770
258,13637,544
259,17616,331
260,977,596
261,3974,910
262,15742,933
263,9865,548
264,15742,969
265,17089,679
266,14782,93
267,1980,434
268,3160,823
269,2841,724
270,2944,332
271,9503,951
272,19907,883
273,13537,441
274,2839,211
275,14115,100
276,903,517
277,11193,949
278,19433,796
279,10077,717
280,17775,290
281,8472,291
282,5876,906
283,14773,771
284,13301,682
285,4562,195
286,4881,968
287,11306,327
288,16126,191
289,7804,601
290,9060,533
291,9438,262
292,6741,348
293,14161,810
294,17104,205
295,17981,967
296,4386,765
297,15244,578
298,6298,166
299,6947,89
300,9614,450
301,7479,356
302,13601,501
303,9312,452
304,3847,583
305,404,414
306,9903,624
307,14920,480
308,17221,780
309,11140,16
310,4752,555
311,11514,683
312,16529,264
313,15723,866
314,12269,79
315,15425,522
316,1675,810
317,2142,245
318,391,286
319,17789,147
320,13769,870
321,16893,70
322,5903,763
323,10396,150
324,12722,197
325,4722,697
326,5642,715
327,19492,52
328,14702,158
329,19687,407
330,15180,832
331,18673,930
332,13237,899
333,17961,925
334,2271,523
335,4474,947
336,3517,739
337,10138,423
338,9019,929
339,19227,928
340,16187,62
341,11599,470
342,10323,942
343,4577,619
344,15225,333
345,15062,970
346,8868,281
347,6735,134
348,8620,338
349,11835,217
350,1546,681
351,13730,422
352,15359,23
353,12587,784
354,16104,381
355,16327,712
356,3555,773
357,15475,646
358,3465,315
359,17103,169
360,380,136
361,7322,54
362,12043,636
363,12953,64
364,18694,404
365,15275,674
366,5931,759
367,4742,188
368,3353,830
369,8457,287
370,3045,501
371,16679,969
372,11320,152
373,4298,894
374,2893,285
375,10316,964
376,17062,703
377,738,114
378,9305,988
379,3632,122
380,13306,344
381,5341,813
382,8675,799
383,8412,822
384,9501,82
385,17832,515
386,7300,174
387,11466,333
388,19231,684
389,10560,855
390,13052,664
391,3217,125
392,12763,737
393,5525,628
394,4780,99
395,11434,605
396,5998,381
397,18234,58
398,13623,989
399,11865,283
400,9646,947
401,12597,984
402,17768,157
403,8401,889
404,1317,338
405,10485,636
406,7177,366
407,13251,320
408,19356,415
409,14917,969
410,8696,765
411,10348,739
412,1692,869
413,3783,952
414,5452,506
415,15129,492
416,3045,367
417,4645,712
418,15341,639
419,6109,406
420,194,405
421,1904,936
422,7293,386
423,16531,314
424,15938,669
425,4773,458
426,17907,578
427,16857,266
428,963,22
429,1649,557
430,15250,893
431,14012,319
432,18637,994
433,11493,486
434,11685,364
435,12772,357
436,11496,158
437,11873,967
438,13315,854
439,15942,849
440,11384,884
441,19697,179
442,3964,130
443,17071,96
444,7236,637
445,11365,629
446,164,615
447,60,198
448,4683,125
449,5532,169
450,12858,274
451,17326,612
452,13161,646
453,4471,138
454,538,13
455,6342,460
456,60,452
457,6645,986
458,12272,846
459,3868,854
460,1610,19
461,10508,876
462,1258,328
463,12621,427
464,13639,329
465,2453,446
466,8079,857
467,16968,855
468,7278,829
469,12756,871
470,12546,673
471,16034,131
472,10625,131
473,18153,558
474,4184,136
475,534,238
476,13373,251
477,13593,146
478,17855,910
479,9634,473
480,14515,336
481,2735,941
482,14103,105
483,14807,569
484,8417,298
485,17536,529
486,19695,727
487,9741,684
488,868,426
489,10988,591
490,5652,657
491,18339,523
492,11778,293
493,8229,562
494,11435,803
495,7325,893
496,12914,347
497,8113,800
498,6416,842
499,8083,285
500,901,263
501,3370,327
502,15553,114
503,11266,310
504,2745,439
505,13667,533
506,5864,812
507,12903,429
508,3660,761
509,17322,543
510,165,899
511,3623,493
512,4183,710
513,12182,166
514,14763,629
515,17859,134
516,835,828
517,3103,899
518,11278,599
519,1265,682
520,10834,211
521,18058,310
522,8015,899
523,10177,850
524,15885,248
525,10728,724
526,3871,512
527,2878,502
528,13884,709
529,12941,342
530,12885,705
531,11802,646
532,17414,471
533,4830,158
534,11333,86
535,13576,997
536,7907,857
537,4651,391
538,8913,667
539,18437,496
540,9610,389
541,18236,291
542,10788,590
543,5794,957
544,14218,655
545,944,337
546,3933,997
547,8013,625
548,12452,334
549,12400,285
550,16744,634
551,2209,266
552,11823,915
553,12529,329
554,4873,57
555,14281,629
556,19139,825
557,3638,802
558,17337,727
559,13194,613
560,17382,969
561,5996,200
562,5294,15
563,2782,44
564,1477,166
565,5833,10
566,536,968
567,16476,936
568,786,538
569,11443,128
570,19429,716
571,17403,234
572,8066,25
573,7419,208
574,2744,519
575,18461,570
576,11546,709
577,14877,987
578,15227,126
579,7030,952
580,17053,929
581,18236,217
582,14501,196
583,1961,150
584,13184,34
585,4419,962
586,7446,881
587,14513,185
588,16371,442
589,10081,932
590,8237,537
591,9338,599
592,10852,327
593,1403,653
594,605,976
595,14355,976
596,16092,155
597,16911,414
598,19353,799
599,11351,659
600,13019,893
601,3953,550
602,14195,680
603,2256,390
604,12559,573
605,15448,207
606,9147,602
607,6504,453
608,16397,405
609,12238,657
610,13110,710
611,763,577
612,19831,592
613,17252,930
614,8637,880
615,14096,784
616,19914,178
617,17819,398
618,19375,661
619,18945,630
620,4221,766
621,14137,91
622,3735,44
623,19939,95
624,12055,765
625,6020,583
626,17665,982
627,9380,699
628,1859,560
629,9118,549
630,16535,894
631,7643,727
632,14978,304
633,9701,808
634,14567,399
635,1718,757
636,15048,93
637,19239,719
638,16035,543
639,18179,992
